model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.25,78.47,73.93,66.97,67.1,76.74
relu_0.1_method1_adam,96.9,65.8,50.0,57.46,60.27,66.09
relu_0.1_method1_sgd,97.25,78.8,75.88,61.78,68.49,76.44
relu_0.1_method2_adam,96.9,65.8,50.0,57.46,60.42,66.12
relu_0.1_method2_sgd,97.25,78.8,75.88,61.78,67.36,76.21
relu_0.2_method1_adam,96.9,71.82,50.05,62.01,59.13,67.98
relu_0.2_method1_sgd,97.25,78.78,63.43,61.7,63.08,72.85
relu_0.2_method2_adam,96.9,64.85,59.92,61.94,59.41,68.6
relu_0.2_method2_sgd,97.25,78.78,63.43,63.5,52.07,71.01
relu_0.3_method1_adam,96.9,67.68,64.93,61.59,59.31,70.08
relu_0.3_method1_sgd,97.25,63.15,65.98,64.22,60.26,70.17
relu_0.3_method2_adam,96.9,69.32,64.55,61.92,59.33,70.4
relu_0.3_method2_sgd,97.25,69.32,68.93,61.19,61.86,71.71
