task,layer,reviving_count,model
1,conv1,1,leaky_relu_0.3_ghada_sgd
1,conv1,1,leaky_relu_0.3_ghada_sgd
1,conv1,1,leaky_relu_0.3_ghada_sgd
3,conv1,3,leaky_relu_0.3_ghada_sgd
3,conv1,2,leaky_relu_0.3_ghada_sgd
3,conv1,2,leaky_relu_0.3_ghada_sgd
2,layer4,10,leaky_relu_0.3_ghada_sgd
2,layer4,10,leaky_relu_0.3_ghada_sgd
2,layer4,10,leaky_relu_0.3_ghada_sgd
3,layer4,67,leaky_relu_0.3_ghada_sgd
3,layer4,67,leaky_relu_0.3_ghada_sgd
3,layer4,67,leaky_relu_0.3_ghada_sgd
4,layer4,44,leaky_relu_0.3_ghada_sgd
4,layer4,41,leaky_relu_0.3_ghada_sgd
4,layer4,39,leaky_relu_0.3_ghada_sgd
3,layer4,1,silu_0.2_ours_sgd
3,layer4,1,silu_0.2_ours_sgd
3,layer4,1,silu_0.2_ours_sgd
2,layer4,4,leaky_relu_0.2_ghada_sgd
2,layer4,3,leaky_relu_0.2_ghada_sgd
2,layer4,3,leaky_relu_0.2_ghada_sgd
3,layer4,11,leaky_relu_0.2_ghada_sgd
3,layer4,11,leaky_relu_0.2_ghada_sgd
3,layer4,11,leaky_relu_0.2_ghada_sgd
4,layer4,1,leaky_relu_0.2_ghada_sgd
4,layer4,1,leaky_relu_0.2_ghada_sgd
4,layer4,1,leaky_relu_0.2_ghada_sgd
1,conv1,1,relu_0.3_ours_adam
1,conv1,1,relu_0.3_ours_adam
1,conv1,1,relu_0.3_ours_adam
2,conv1,1,relu_0.3_ours_adam
2,conv1,1,relu_0.3_ours_adam
2,conv1,1,relu_0.3_ours_adam
2,layer4,22,relu_0.3_ours_adam
2,layer4,22,relu_0.3_ours_adam
2,layer4,22,relu_0.3_ours_adam
3,layer4,37,relu_0.3_ours_adam
3,layer4,37,relu_0.3_ours_adam
3,layer4,37,relu_0.3_ours_adam
4,layer4,17,relu_0.3_ours_adam
4,layer4,17,relu_0.3_ours_adam
4,layer4,17,relu_0.3_ours_adam
2,layer4,2,silu_0.2_ghada_adam
2,layer4,2,silu_0.2_ghada_adam
2,layer4,2,silu_0.2_ghada_adam
3,layer4,28,silu_0.2_ghada_adam
3,layer4,27,silu_0.2_ghada_adam
3,layer4,27,silu_0.2_ghada_adam
4,layer4,46,silu_0.2_ghada_adam
4,layer4,45,silu_0.2_ghada_adam
4,layer4,44,silu_0.2_ghada_adam
2,conv1,1,silu_0.3_ghada_adam
2,conv1,1,silu_0.3_ghada_adam
2,conv1,1,silu_0.3_ghada_adam
4,layer3,2,silu_0.3_ghada_adam
4,layer3,2,silu_0.3_ghada_adam
4,layer3,2,silu_0.3_ghada_adam
2,layer4,34,silu_0.3_ghada_adam
2,layer4,34,silu_0.3_ghada_adam
2,layer4,34,silu_0.3_ghada_adam
3,layer4,47,silu_0.3_ghada_adam
3,layer4,45,silu_0.3_ghada_adam
3,layer4,45,silu_0.3_ghada_adam
4,layer4,46,silu_0.3_ghada_adam
4,layer4,43,silu_0.3_ghada_adam
4,layer4,41,silu_0.3_ghada_adam
3,layer4,22,leaky_relu_0.2_ours_adam
3,layer4,21,leaky_relu_0.2_ours_adam
3,layer4,21,leaky_relu_0.2_ours_adam
4,layer4,14,leaky_relu_0.2_ours_adam
4,layer4,14,leaky_relu_0.2_ours_adam
4,layer4,14,leaky_relu_0.2_ours_adam
1,conv1,1,leaky_relu_0.3_ours_sgd
1,conv1,1,leaky_relu_0.3_ours_sgd
2,conv1,1,leaky_relu_0.3_ours_sgd
2,conv1,1,leaky_relu_0.3_ours_sgd
2,conv1,1,leaky_relu_0.3_ours_sgd
3,conv1,2,leaky_relu_0.3_ours_sgd
3,conv1,2,leaky_relu_0.3_ours_sgd
3,conv1,2,leaky_relu_0.3_ours_sgd
4,conv1,1,leaky_relu_0.3_ours_sgd
4,conv1,1,leaky_relu_0.3_ours_sgd
4,conv1,1,leaky_relu_0.3_ours_sgd
2,layer4,13,leaky_relu_0.3_ours_sgd
2,layer4,13,leaky_relu_0.3_ours_sgd
2,layer4,13,leaky_relu_0.3_ours_sgd
3,layer4,49,leaky_relu_0.3_ours_sgd
3,layer4,48,leaky_relu_0.3_ours_sgd
3,layer4,48,leaky_relu_0.3_ours_sgd
4,layer4,15,leaky_relu_0.3_ours_sgd
4,layer4,15,leaky_relu_0.3_ours_sgd
4,layer4,15,leaky_relu_0.3_ours_sgd
1,conv1,1,relu_0.3_ghada_sgd
2,conv1,1,relu_0.3_ghada_sgd
4,conv1,1,relu_0.3_ghada_sgd
2,layer4,16,relu_0.3_ghada_sgd
2,layer4,16,relu_0.3_ghada_sgd
2,layer4,16,relu_0.3_ghada_sgd
3,layer4,44,relu_0.3_ghada_sgd
3,layer4,44,relu_0.3_ghada_sgd
3,layer4,44,relu_0.3_ghada_sgd
4,layer4,9,relu_0.3_ghada_sgd
4,layer4,9,relu_0.3_ghada_sgd
4,layer4,9,relu_0.3_ghada_sgd
1,conv1,1,relu_0.3_ours_sgd
1,conv1,1,relu_0.3_ours_sgd
1,conv1,1,relu_0.3_ours_sgd
2,conv1,1,relu_0.3_ours_sgd
2,conv1,1,relu_0.3_ours_sgd
2,conv1,1,relu_0.3_ours_sgd
2,layer4,11,relu_0.3_ours_sgd
2,layer4,11,relu_0.3_ours_sgd
2,layer4,11,relu_0.3_ours_sgd
3,layer4,42,relu_0.3_ours_sgd
3,layer4,41,relu_0.3_ours_sgd
3,layer4,41,relu_0.3_ours_sgd
4,layer4,21,relu_0.3_ours_sgd
4,layer4,13,relu_0.3_ours_sgd
4,layer4,12,relu_0.3_ours_sgd
3,layer4,22,leaky_relu_0.2_ghada_adam
3,layer4,21,leaky_relu_0.2_ghada_adam
3,layer4,21,leaky_relu_0.2_ghada_adam
4,layer4,14,leaky_relu_0.2_ghada_adam
4,layer4,14,leaky_relu_0.2_ghada_adam
4,layer4,14,leaky_relu_0.2_ghada_adam
2,conv1,1,silu_0.3_ghada_sgd
2,conv1,1,silu_0.3_ghada_sgd
2,conv1,1,silu_0.3_ghada_sgd
3,conv1,1,silu_0.3_ghada_sgd
3,conv1,1,silu_0.3_ghada_sgd
3,conv1,1,silu_0.3_ghada_sgd
3,layer4,16,silu_0.3_ghada_sgd
3,layer4,16,silu_0.3_ghada_sgd
3,layer4,15,silu_0.3_ghada_sgd
4,layer4,11,silu_0.3_ghada_sgd
4,layer4,11,silu_0.3_ghada_sgd
4,layer4,11,silu_0.3_ghada_sgd
3,layer4,33,relu_0.2_ours_adam
3,layer4,33,relu_0.2_ours_adam
3,layer4,33,relu_0.2_ours_adam
4,layer4,10,relu_0.2_ours_adam
4,layer4,10,relu_0.2_ours_adam
4,layer4,10,relu_0.2_ours_adam
1,conv1,1,relu_0.3_ghada_adam
1,conv1,1,relu_0.3_ghada_adam
1,conv1,1,relu_0.3_ghada_adam
2,conv1,2,relu_0.3_ghada_adam
2,conv1,2,relu_0.3_ghada_adam
2,conv1,2,relu_0.3_ghada_adam
2,layer4,24,relu_0.3_ghada_adam
2,layer4,24,relu_0.3_ghada_adam
2,layer4,24,relu_0.3_ghada_adam
3,layer4,34,relu_0.3_ghada_adam
3,layer4,34,relu_0.3_ghada_adam
3,layer4,34,relu_0.3_ghada_adam
4,layer4,17,relu_0.3_ghada_adam
4,layer4,17,relu_0.3_ghada_adam
4,layer4,17,relu_0.3_ghada_adam
1,conv1,1,leaky_relu_0.3_ours_adam
2,conv1,3,leaky_relu_0.3_ours_adam
2,conv1,3,leaky_relu_0.3_ours_adam
2,conv1,3,leaky_relu_0.3_ours_adam
4,conv1,1,leaky_relu_0.3_ours_adam
4,conv1,1,leaky_relu_0.3_ours_adam
4,conv1,1,leaky_relu_0.3_ours_adam
2,layer4,18,leaky_relu_0.3_ours_adam
2,layer4,18,leaky_relu_0.3_ours_adam
2,layer4,18,leaky_relu_0.3_ours_adam
3,layer4,27,leaky_relu_0.3_ours_adam
3,layer4,27,leaky_relu_0.3_ours_adam
3,layer4,27,leaky_relu_0.3_ours_adam
4,layer4,21,leaky_relu_0.3_ours_adam
4,layer4,21,leaky_relu_0.3_ours_adam
4,layer4,21,leaky_relu_0.3_ours_adam
2,layer4,4,leaky_relu_0.2_ours_sgd
2,layer4,3,leaky_relu_0.2_ours_sgd
2,layer4,3,leaky_relu_0.2_ours_sgd
3,layer4,11,leaky_relu_0.2_ours_sgd
3,layer4,11,leaky_relu_0.2_ours_sgd
3,layer4,11,leaky_relu_0.2_ours_sgd
4,layer4,1,leaky_relu_0.2_ours_sgd
4,layer4,1,leaky_relu_0.2_ours_sgd
4,layer4,1,leaky_relu_0.2_ours_sgd
3,layer4,33,relu_0.2_ghada_adam
3,layer4,33,relu_0.2_ghada_adam
3,layer4,33,relu_0.2_ghada_adam
4,layer4,10,relu_0.2_ghada_adam
4,layer4,10,relu_0.2_ghada_adam
4,layer4,10,relu_0.2_ghada_adam
2,conv1,1,silu_0.3_ours_sgd
2,conv1,1,silu_0.3_ours_sgd
2,conv1,1,silu_0.3_ours_sgd
3,conv1,1,silu_0.3_ours_sgd
3,conv1,1,silu_0.3_ours_sgd
3,conv1,1,silu_0.3_ours_sgd
3,layer4,14,silu_0.3_ours_sgd
3,layer4,14,silu_0.3_ours_sgd
3,layer4,14,silu_0.3_ours_sgd
4,layer4,11,silu_0.3_ours_sgd
4,layer4,10,silu_0.3_ours_sgd
4,layer4,10,silu_0.3_ours_sgd
3,layer4,1,silu_0.2_ghada_sgd
3,layer4,1,silu_0.2_ghada_sgd
3,layer4,1,silu_0.2_ghada_sgd
1,conv1,1,leaky_relu_0.3_ghada_adam
1,conv1,1,leaky_relu_0.3_ghada_adam
1,conv1,1,leaky_relu_0.3_ghada_adam
2,conv1,2,leaky_relu_0.3_ghada_adam
2,conv1,2,leaky_relu_0.3_ghada_adam
2,conv1,2,leaky_relu_0.3_ghada_adam
2,layer4,20,leaky_relu_0.3_ghada_adam
2,layer4,20,leaky_relu_0.3_ghada_adam
2,layer4,20,leaky_relu_0.3_ghada_adam
3,layer4,37,leaky_relu_0.3_ghada_adam
3,layer4,37,leaky_relu_0.3_ghada_adam
3,layer4,37,leaky_relu_0.3_ghada_adam
4,layer4,21,leaky_relu_0.3_ghada_adam
4,layer4,21,leaky_relu_0.3_ghada_adam
4,layer4,21,leaky_relu_0.3_ghada_adam
3,layer4,12,relu_0.2_ghada_sgd
3,layer4,12,relu_0.2_ghada_sgd
3,layer4,12,relu_0.2_ghada_sgd
4,layer4,10,relu_0.2_ghada_sgd
4,layer4,8,relu_0.2_ghada_sgd
4,layer4,8,relu_0.2_ghada_sgd
2,layer4,2,silu_0.2_ours_adam
2,layer4,2,silu_0.2_ours_adam
2,layer4,2,silu_0.2_ours_adam
3,layer4,28,silu_0.2_ours_adam
3,layer4,27,silu_0.2_ours_adam
3,layer4,27,silu_0.2_ours_adam
4,layer4,46,silu_0.2_ours_adam
4,layer4,45,silu_0.2_ours_adam
4,layer4,44,silu_0.2_ours_adam
3,layer4,12,relu_0.2_ours_sgd
3,layer4,12,relu_0.2_ours_sgd
3,layer4,12,relu_0.2_ours_sgd
4,layer4,10,relu_0.2_ours_sgd
4,layer4,8,relu_0.2_ours_sgd
4,layer4,8,relu_0.2_ours_sgd
2,conv1,1,silu_0.3_ours_adam
2,conv1,1,silu_0.3_ours_adam
2,conv1,1,silu_0.3_ours_adam
4,layer3,1,silu_0.3_ours_adam
4,layer3,1,silu_0.3_ours_adam
4,layer3,1,silu_0.3_ours_adam
2,layer4,34,silu_0.3_ours_adam
2,layer4,34,silu_0.3_ours_adam
2,layer4,34,silu_0.3_ours_adam
3,layer4,43,silu_0.3_ours_adam
3,layer4,38,silu_0.3_ours_adam
3,layer4,38,silu_0.3_ours_adam
4,layer4,43,silu_0.3_ours_adam
4,layer4,41,silu_0.3_ours_adam
4,layer4,40,silu_0.3_ours_adam
