model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.55,77.65,76.12,71.47,60.58,76.67
relu_0.1_ghada_adam,97.8,71.18,71.68,60.6,52.4,70.73
relu_0.1_ghada_sgd,97.55,77.65,76.12,71.42,60.48,76.64
relu_0.1_ours_adam,97.8,71.18,71.68,60.6,52.4,70.73
relu_0.1_ours_sgd,97.55,77.65,76.12,71.03,59.97,76.46
relu_0.2_ghada_adam,97.8,71.93,63.47,62.12,63.07,71.68
relu_0.2_ghada_sgd,97.55,76.82,75.07,76.69,57.72,76.77
relu_0.2_ours_adam,97.8,71.93,64.18,64.6,61.44,71.99
relu_0.2_ours_sgd,97.55,77.6,76.57,75.94,58.91,77.31
relu_0.3_ghada_adam,97.8,70.03,65.0,64.21,53.08,70.02
relu_0.3_ghada_sgd,97.55,79.95,76.42,68.42,61.18,76.7
relu_0.3_ours_adam,97.8,71.43,63.53,63.64,54.0,70.08
relu_0.3_ours_sgd,97.55,76.5,73.88,72.62,56.81,75.47
