model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.1,42.95,31.33,24.32,19.09,42.96
relu_0.1_method1_adam,98.0,44.28,31.18,24.35,19.51,43.46
relu_0.1_method1_sgd,97.1,42.88,31.15,24.28,19.52,42.99
relu_0.1_method2_adam,98.0,44.28,31.32,24.18,19.53,43.46
relu_0.1_method2_sgd,97.1,42.88,31.15,24.25,19.54,42.98
relu_0.2_method1_adam,98.0,44.38,31.15,23.88,19.3,43.34
relu_0.2_method1_sgd,97.1,42.35,30.23,24.3,19.38,42.67
relu_0.2_method2_adam,98.0,44.47,31.42,24.28,19.17,43.47
relu_0.2_method2_sgd,97.1,42.35,30.23,24.25,19.45,42.68
relu_0.3_method1_adam,98.0,43.22,31.32,24.4,19.19,43.23
relu_0.3_method1_sgd,97.1,40.62,31.15,24.39,19.4,42.53
relu_0.3_method2_adam,98.0,39.92,31.43,23.95,18.79,42.42
relu_0.3_method2_sgd,97.1,42.38,31.08,24.1,18.84,42.7
