model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.25,78.47,73.93,66.97,67.1,76.74
relu_0.1_method1_adam,96.9,67.45,53.25,62.51,59.49,67.92
relu_0.1_method1_sgd,97.25,78.47,74.17,65.55,67.81,76.65
relu_0.1_method2_adam,96.9,67.45,53.25,62.51,59.49,67.92
relu_0.1_method2_sgd,97.25,78.47,74.17,65.55,67.81,76.65
relu_0.2_method1_adam,96.9,67.45,58.23,54.24,60.05,67.37
relu_0.2_method1_sgd,97.25,72.45,69.95,58.59,49.55,69.56
relu_0.2_method2_adam,96.9,67.45,58.35,60.11,61.56,68.87
relu_0.2_method2_sgd,97.25,72.45,69.95,59.54,50.57,69.95
relu_0.3_method1_adam,96.9,69.4,54.55,66.71,69.54,71.42
relu_0.3_method1_sgd,97.25,77.78,62.22,66.65,50.18,70.82
relu_0.3_method2_adam,96.9,77.45,66.55,57.14,60.04,71.62
relu_0.3_method2_sgd,97.25,57.28,66.87,65.9,61.16,69.69
