model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.1,42.95,31.33,24.32,19.09,42.96
relu_0.1_ghada_adam,98.0,44.28,31.37,24.26,19.39,43.46
relu_0.1_ghada_sgd,97.1,42.88,31.22,24.46,19.42,43.02
relu_0.1_ours_adam,98.0,44.28,31.37,24.62,19.16,43.49
relu_0.1_ours_sgd,97.1,42.88,31.22,24.46,19.42,43.02
relu_0.2_ghada_adam,98.0,44.38,30.77,24.34,19.09,43.32
relu_0.2_ghada_sgd,97.1,43.03,31.35,24.4,19.45,43.07
relu_0.2_ours_adam,98.0,44.47,31.28,24.3,19.46,43.5
relu_0.2_ours_sgd,97.1,43.03,31.13,24.49,19.2,42.99
relu_0.3_ghada_adam,98.0,44.5,31.0,24.35,19.48,43.47
relu_0.3_ghada_sgd,97.1,43.15,31.27,23.82,19.45,42.96
relu_0.3_ours_adam,98.0,44.42,31.47,23.99,19.44,43.46
relu_0.3_ours_sgd,97.1,42.92,31.17,23.1,18.86,42.63
