model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.1,77.12,78.03,64.12,68.66,77.01
relu_0.1_ghada_adam,98.0,64.45,59.82,61.76,55.49,67.9
relu_0.1_ghada_sgd,97.1,78.0,78.5,64.1,69.36,77.41
relu_0.1_ours_adam,98.0,64.45,59.82,63.34,57.83,68.69
relu_0.1_ours_sgd,97.1,78.0,78.5,64.1,69.36,77.41
relu_0.2_ghada_adam,98.0,60.4,62.1,65.29,51.93,67.54
relu_0.2_ghada_sgd,97.1,78.47,79.97,73.38,71.98,80.18
relu_0.2_ours_adam,98.0,66.38,62.92,62.39,53.49,68.64
relu_0.2_ours_sgd,97.1,78.47,79.35,74.4,70.5,79.96
relu_0.3_ghada_adam,98.0,65.05,61.12,65.3,70.34,71.96
relu_0.3_ghada_sgd,97.1,78.68,78.08,68.68,59.15,76.34
relu_0.3_ours_adam,98.0,62.35,63.83,64.89,59.18,69.65
relu_0.3_ours_sgd,97.1,77.32,79.42,67.96,57.6,75.88
