model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.1,77.12,78.03,64.12,68.66,77.01
relu_0.1_ghada_adam,98.0,64.45,64.45,60.95,65.84,70.74
relu_0.1_ghada_sgd,97.1,78.0,78.23,61.31,69.93,76.91
relu_0.1_ours_adam,98.0,64.45,64.45,60.95,65.84,70.74
relu_0.1_ours_sgd,97.1,78.0,78.23,60.79,70.73,76.97
relu_0.2_ghada_adam,98.0,60.4,65.67,63.78,59.95,69.56
relu_0.2_ghada_sgd,97.1,72.22,64.42,58.68,59.75,70.43
relu_0.2_ours_adam,98.0,66.38,63.75,65.95,60.02,70.82
relu_0.2_ours_sgd,97.1,72.22,64.42,58.6,58.66,70.2
relu_0.3_ghada_adam,98.0,57.6,61.78,62.48,64.02,68.77
relu_0.3_ghada_sgd,97.1,75.47,77.48,58.56,62.16,74.15
relu_0.3_ours_adam,98.0,57.1,65.05,57.52,63.76,68.29
relu_0.3_ours_sgd,97.1,76.6,73.98,64.25,62.86,74.96
