model,num_tasks_seen,task,metric_type,accuracy
relu_0.2_ours_sgd,1,0,Class-IL,97.1
relu_0.2_ours_sgd,1,0,Task-IL,97.1
relu_0.2_ours_sgd,1,avg,Class-IL,97.1
relu_0.2_ours_sgd,1,avg,Task-IL,97.1
relu_0.2_ours_sgd,2,0,Class-IL,0.0
relu_0.2_ours_sgd,2,0,Task-IL,61.7
relu_0.2_ours_sgd,2,1,Class-IL,86.35000000000001
relu_0.2_ours_sgd,2,1,Task-IL,86.35000000000001
relu_0.2_ours_sgd,2,avg,Class-IL,43.18
relu_0.2_ours_sgd,2,avg,Task-IL,74.03
relu_0.2_ours_sgd,3,0,Class-IL,0.0
relu_0.2_ours_sgd,3,0,Task-IL,67.60000000000001
relu_0.2_ours_sgd,3,1,Class-IL,0.0
relu_0.2_ours_sgd,3,1,Task-IL,56.75
relu_0.2_ours_sgd,3,2,Class-IL,90.95
relu_0.2_ours_sgd,3,2,Task-IL,90.95
relu_0.2_ours_sgd,3,avg,Class-IL,30.32
relu_0.2_ours_sgd,3,avg,Task-IL,71.77
relu_0.2_ours_sgd,4,0,Class-IL,0.0
relu_0.2_ours_sgd,4,0,Task-IL,41.65
relu_0.2_ours_sgd,4,1,Class-IL,0.0
relu_0.2_ours_sgd,4,1,Task-IL,58.650000000000006
relu_0.2_ours_sgd,4,2,Class-IL,0.0
relu_0.2_ours_sgd,4,2,Task-IL,33.35
relu_0.2_ours_sgd,4,3,Class-IL,97.89999999999999
relu_0.2_ours_sgd,4,3,Task-IL,97.89999999999999
relu_0.2_ours_sgd,4,avg,Class-IL,24.48
relu_0.2_ours_sgd,4,avg,Task-IL,57.89
relu_0.2_ours_sgd,5,0,Class-IL,0.0
relu_0.2_ours_sgd,5,0,Task-IL,81.5
relu_0.2_ours_sgd,5,1,Class-IL,0.0
relu_0.2_ours_sgd,5,1,Task-IL,56.85
relu_0.2_ours_sgd,5,2,Class-IL,0.0
relu_0.2_ours_sgd,5,2,Task-IL,53.849999999999994
relu_0.2_ours_sgd,5,3,Class-IL,0.0
relu_0.2_ours_sgd,5,3,Task-IL,53.2
relu_0.2_ours_sgd,5,4,Class-IL,97.2
relu_0.2_ours_sgd,5,4,Task-IL,97.2
relu_0.2_ours_sgd,5,avg,Class-IL,19.44
relu_0.2_ours_sgd,5,avg,Task-IL,68.52
relu_0.3_ours_adam,1,0,Class-IL,98.0
relu_0.3_ours_adam,1,0,Task-IL,98.0
relu_0.3_ours_adam,1,avg,Class-IL,98.0
relu_0.3_ours_adam,1,avg,Task-IL,98.0
relu_0.3_ours_adam,2,0,Class-IL,0.0
relu_0.3_ours_adam,2,0,Task-IL,41.5
relu_0.3_ours_adam,2,1,Class-IL,72.65
relu_0.3_ours_adam,2,1,Task-IL,72.65
relu_0.3_ours_adam,2,avg,Class-IL,36.33
relu_0.3_ours_adam,2,avg,Task-IL,57.08
relu_0.3_ours_adam,3,0,Class-IL,0.0
relu_0.3_ours_adam,3,0,Task-IL,68.95
relu_0.3_ours_adam,3,1,Class-IL,0.0
relu_0.3_ours_adam,3,1,Task-IL,40.35
relu_0.3_ours_adam,3,2,Class-IL,93.7
relu_0.3_ours_adam,3,2,Task-IL,93.7
relu_0.3_ours_adam,3,avg,Class-IL,31.23
relu_0.3_ours_adam,3,avg,Task-IL,67.67
relu_0.3_ours_adam,4,0,Class-IL,0.0
relu_0.3_ours_adam,4,0,Task-IL,59.699999999999996
relu_0.3_ours_adam,4,1,Class-IL,0.0
relu_0.3_ours_adam,4,1,Task-IL,56.05
relu_0.3_ours_adam,4,2,Class-IL,0.0
relu_0.3_ours_adam,4,2,Task-IL,59.9
relu_0.3_ours_adam,4,3,Class-IL,81.85
relu_0.3_ours_adam,4,3,Task-IL,81.85
relu_0.3_ours_adam,4,avg,Class-IL,20.46
relu_0.3_ours_adam,4,avg,Task-IL,64.38
relu_0.3_ours_adam,5,0,Class-IL,0.0
relu_0.3_ours_adam,5,0,Task-IL,78.35
relu_0.3_ours_adam,5,1,Class-IL,0.0
relu_0.3_ours_adam,5,1,Task-IL,44.0
relu_0.3_ours_adam,5,2,Class-IL,0.0
relu_0.3_ours_adam,5,2,Task-IL,61.8
relu_0.3_ours_adam,5,3,Class-IL,0.0
relu_0.3_ours_adam,5,3,Task-IL,60.4
relu_0.3_ours_adam,5,4,Class-IL,86.6
relu_0.3_ours_adam,5,4,Task-IL,86.6
relu_0.3_ours_adam,5,avg,Class-IL,17.32
relu_0.3_ours_adam,5,avg,Task-IL,66.23
relu_0.2_ours_adam,1,0,Class-IL,98.0
relu_0.2_ours_adam,1,0,Task-IL,98.0
relu_0.2_ours_adam,1,avg,Class-IL,98.0
relu_0.2_ours_adam,1,avg,Task-IL,98.0
relu_0.2_ours_adam,2,0,Class-IL,0.0
relu_0.2_ours_adam,2,0,Task-IL,40.400000000000006
relu_0.2_ours_adam,2,1,Class-IL,88.4
relu_0.2_ours_adam,2,1,Task-IL,88.4
relu_0.2_ours_adam,2,avg,Class-IL,44.2
relu_0.2_ours_adam,2,avg,Task-IL,64.4
relu_0.2_ours_adam,3,0,Class-IL,0.0
relu_0.2_ours_adam,3,0,Task-IL,50.64999999999999
relu_0.2_ours_adam,3,1,Class-IL,0.0
relu_0.2_ours_adam,3,1,Task-IL,57.75
relu_0.2_ours_adam,3,2,Class-IL,79.4
relu_0.2_ours_adam,3,2,Task-IL,79.4
relu_0.2_ours_adam,3,avg,Class-IL,26.47
relu_0.2_ours_adam,3,avg,Task-IL,62.6
relu_0.2_ours_adam,4,0,Class-IL,0.0
relu_0.2_ours_adam,4,0,Task-IL,48.9
relu_0.2_ours_adam,4,1,Class-IL,0.0
relu_0.2_ours_adam,4,1,Task-IL,79.85
relu_0.2_ours_adam,4,2,Class-IL,0.0
relu_0.2_ours_adam,4,2,Task-IL,52.2
relu_0.2_ours_adam,4,3,Class-IL,75.2
relu_0.2_ours_adam,4,3,Task-IL,75.2
relu_0.2_ours_adam,4,avg,Class-IL,18.8
relu_0.2_ours_adam,4,avg,Task-IL,64.04
relu_0.2_ours_adam,5,0,Class-IL,0.0
relu_0.2_ours_adam,5,0,Task-IL,23.549999999999997
relu_0.2_ours_adam,5,1,Class-IL,0.0
relu_0.2_ours_adam,5,1,Task-IL,62.2
relu_0.2_ours_adam,5,2,Class-IL,0.0
relu_0.2_ours_adam,5,2,Task-IL,43.4
relu_0.2_ours_adam,5,3,Class-IL,0.0
relu_0.2_ours_adam,5,3,Task-IL,45.75
relu_0.2_ours_adam,5,4,Class-IL,86.3
relu_0.2_ours_adam,5,4,Task-IL,86.3
relu_0.2_ours_adam,5,avg,Class-IL,17.26
relu_0.2_ours_adam,5,avg,Task-IL,52.24
relu_0.1_ours_sgd,1,0,Class-IL,97.1
relu_0.1_ours_sgd,1,0,Task-IL,97.1
relu_0.1_ours_sgd,1,avg,Class-IL,97.1
relu_0.1_ours_sgd,1,avg,Task-IL,97.1
relu_0.1_ours_sgd,2,0,Class-IL,0.0
relu_0.1_ours_sgd,2,0,Task-IL,68.35
relu_0.1_ours_sgd,2,1,Class-IL,85.9
relu_0.1_ours_sgd,2,1,Task-IL,85.9
relu_0.1_ours_sgd,2,avg,Class-IL,42.95
relu_0.1_ours_sgd,2,avg,Task-IL,77.12
relu_0.1_ours_sgd,3,0,Class-IL,0.0
relu_0.1_ours_sgd,3,0,Task-IL,67.05
relu_0.1_ours_sgd,3,1,Class-IL,0.0
relu_0.1_ours_sgd,3,1,Task-IL,65.85
relu_0.1_ours_sgd,3,2,Class-IL,90.0
relu_0.1_ours_sgd,3,2,Task-IL,90.0
relu_0.1_ours_sgd,3,avg,Class-IL,30.0
relu_0.1_ours_sgd,3,avg,Task-IL,74.3
relu_0.1_ours_sgd,4,0,Class-IL,0.0
relu_0.1_ours_sgd,4,0,Task-IL,42.15
relu_0.1_ours_sgd,4,1,Class-IL,0.0
relu_0.1_ours_sgd,4,1,Task-IL,56.65
relu_0.1_ours_sgd,4,2,Class-IL,0.0
relu_0.1_ours_sgd,4,2,Task-IL,52.2
relu_0.1_ours_sgd,4,3,Class-IL,97.15
relu_0.1_ours_sgd,4,3,Task-IL,97.15
relu_0.1_ours_sgd,4,avg,Class-IL,24.29
relu_0.1_ours_sgd,4,avg,Task-IL,62.04
relu_0.1_ours_sgd,5,0,Class-IL,0.0
relu_0.1_ours_sgd,5,0,Task-IL,67.65
relu_0.1_ours_sgd,5,1,Class-IL,0.0
relu_0.1_ours_sgd,5,1,Task-IL,57.099999999999994
relu_0.1_ours_sgd,5,2,Class-IL,0.0
relu_0.1_ours_sgd,5,2,Task-IL,51.1
relu_0.1_ours_sgd,5,3,Class-IL,0.0
relu_0.1_ours_sgd,5,3,Task-IL,66.05
relu_0.1_ours_sgd,5,4,Class-IL,92.5
relu_0.1_ours_sgd,5,4,Task-IL,92.5
relu_0.1_ours_sgd,5,avg,Class-IL,18.5
relu_0.1_ours_sgd,5,avg,Task-IL,66.88
relu_0.1_ours_adam,1,0,Class-IL,98.0
relu_0.1_ours_adam,1,0,Task-IL,98.0
relu_0.1_ours_adam,1,avg,Class-IL,98.0
relu_0.1_ours_adam,1,avg,Task-IL,98.0
relu_0.1_ours_adam,2,0,Class-IL,0.0
relu_0.1_ours_adam,2,0,Task-IL,40.400000000000006
relu_0.1_ours_adam,2,1,Class-IL,88.4
relu_0.1_ours_adam,2,1,Task-IL,88.4
relu_0.1_ours_adam,2,avg,Class-IL,44.2
relu_0.1_ours_adam,2,avg,Task-IL,64.4
relu_0.1_ours_adam,3,0,Class-IL,0.0
relu_0.1_ours_adam,3,0,Task-IL,48.05
relu_0.1_ours_adam,3,1,Class-IL,0.0
relu_0.1_ours_adam,3,1,Task-IL,65.4
relu_0.1_ours_adam,3,2,Class-IL,79.65
relu_0.1_ours_adam,3,2,Task-IL,79.65
relu_0.1_ours_adam,3,avg,Class-IL,26.55
relu_0.1_ours_adam,3,avg,Task-IL,64.37
relu_0.1_ours_adam,4,0,Class-IL,0.0
relu_0.1_ours_adam,4,0,Task-IL,45.35
relu_0.1_ours_adam,4,1,Class-IL,0.0
