model,1,2,3,4,5,Average
01_baseline_sgd_relu,97.25,78.47,73.93,66.97,67.1,76.74
relu_0.1_ghada_adam,96.9,65.8,58.1,61.66,58.01,68.09
relu_0.1_ghada_sgd,97.25,78.8,77.53,71.99,66.24,78.36
relu_0.1_ours_adam,96.9,65.8,58.1,63.88,59.06,68.75
relu_0.1_ours_sgd,97.25,78.8,77.53,71.99,64.64,78.04
relu_0.2_ghada_adam,96.9,71.82,50.12,63.02,60.49,68.47
relu_0.2_ghada_sgd,97.25,73.55,73.32,62.95,72.09,75.83
relu_0.2_ours_adam,96.9,64.85,63.03,65.05,56.06,69.18
relu_0.2_ours_sgd,97.25,73.55,74.03,64.29,72.54,76.33
relu_0.3_ghada_adam,96.9,64.0,60.6,57.72,58.41,67.53
relu_0.3_ghada_sgd,97.25,78.53,74.2,63.65,69.56,76.64
relu_0.3_ours_adam,96.9,62.85,49.53,62.91,51.7,64.78
relu_0.3_ours_sgd,97.25,78.88,78.03,67.46,71.21,78.57
